sample_name,sample_type,genus
2648,CCA,Other
2680,Coral,Porites
2612,Coral,Pocillopora
2649,CCA,Other
2823,Coral,Porites
2679,Coral,Porites
2749,Coral,Porites
2859,CCA,Other
2747,Coral,Monitipora
2721,CCA,Other
2653,CCA,Other
2909,CCA,Other
2656,CCA,Other
2874,Coral,Porites
2607,Coral,Monitipora
2610,Coral,Porites
2643,Limu,Other
2606,Coral,Monitipora
2789,CCA,Other
2614,Coral,Pocillopora
2703,Limu,Galaxaura
2903,CCA,Other
2702,Limu,Galaxaura
2822,Coral,Porites
2790,CCA,Other
2858,CCA,Other
2725,CCA,Other
2720,CCA,Other
2686,Coral,Monitipora
2746,Coral,Monitipora
2815,Coral,Monitipora
2631,Limu,Other
2701,Limu,Galaxaura
2678,Coral,Porites
2745,Coral,Pocillopora
2788,CCA,Other
2651,CCA,Other
2904,CCA,Other
2611,Coral,Porites
2609,Coral,Porites
2685,Coral,Monitipora
2853,Limu,Other
2726,CCA,Other
2608,Coral,Monitipora
2905,CCA,Other
2791,CCA,Other
2712,Limu,Jania
2848,Limu,Other
2908,CCA,Other
2875,Coral,Porites
2727,CCA,Other
2652,CCA,Other
2646,Limu,Halimeda
2724,CCA,Other
2641,Limu,Other
2907,CCA,Other
2723,CCA,Other
2647,Limu,Halimeda
2795,CCA,Other
2857,CCA,Other
2681,Coral,Pocillopora
2748,Coral,Monitipora
2722,CCA,Other
2684,Coral,Monitipora
2888,Limu,Other
2879,Coral,Monitipora
2792,CCA,Other
2710,Limu,Jania
2654,CCA,Other
2719,CCA,Other
2711,Limu,Jania
2645,Limu,Halimeda
2906,CCA,Other
2839,Limu,Galaxaura
2751,Coral,Porites
2880,Coral,Monitipora
2638,Limu,Jania
2841,Limu,Galaxaura
2817,Coral,Monitipora
2843,Limu,Other
2911,CCA,Other
2873,Coral,Porites
2750,Coral,Porites
2819,Coral,Pocillopora
2881,Coral,Monitipora
2637,Limu,Jania
2844,Limu,Other
2910,CCA,Other
2644,Limu,Other
2816,Coral,Monitipora
2650,CCA,Other
2821,Coral,Porites
2655,CCA,Other
